#  24 August 2021     Arrin, Callsign: KN1E      International (Basic)  V0.1   0Hz to 2.5GHz (All Allocations) (ARRL BPs till 20m) |   Free to use for those who want to expand their knowledge of the radio spectrum.
#                                                There is a list of contents, reference, color legend, explanation on how you can customize this file, and my comments about this file, after all of the allocations.
#
#                                                Quick Author's Note: It is an absolute pain to try and compile a list that every country can agree on, so I went with what I thought would likely be the best choice.
#                                                I live in the US so I have no experience or familiarity with frequencies other than those in the US, so it's within reason that I will make mistakes/ seemingly unfounded choices.

# minFrequency, maxFrequency, mode, step, color, name
0, 8300, CW, 1, #40FFFFFF, Unallocated
4090500, 4093500, USB, 10, #5500C9C9, 410
4093500, 4096500, USB, 10, #55008080, 411
4096500, 4099500, USB, 10, #5500C9C9, 412
4099500, 4102500, USB, 10, #55008080, 413
4102500, 4105500, USB, 10, #5500C9C9, 414
4105500, 4108500, USB, 10, #55008080, 415
4108500, 4111500, USB, 10, #5500C9C9, 416
4111500, 4114500, USB, 10, #55008080, 417
4114500, 4117500, USB, 10, #5500C9C9, 418
4117500, 4120500, USB, 10, #55008080, 419
4120500, 4123500, USB, 10, #5500C9C9, 420
4123500, 4126500, USB, 10, #50FF0091, 421 (Distress/ Safety)
4126500, 4129500, USB, 10, #55008080, 422
4129500, 4132500, USB, 10, #5500C9C9, 423
4132500, 4135500, USB, 10, #55008080, 424
4135500, 4138500, USB, 10, #5500C9C9, 425
4138500, 4141500, USB, 10, #55008080, 426
4141500, 4144500, USB, 10, #5500C9C9, 427
4144500, 4348000, USB, 100, #55008080, (Ship TX) Maritime
4348000, 4349500, USB, 100, #55008080, (Coast TX) Maritime
4349500, 4352500, USB, 100, #5500C9C9, ITU Ch. 428 (Coast TX)
4352500, 4355500, USB, 100, #55008080, 429
4355500, 4358500, USB, 100, #55008080, 401
4358500, 4361500, USB, 100, #5500C9C9, 402
4361500, 4364500, USB, 100, #55008080, 403
4364500, 4367500, USB, 100, #5500C9C9, 404
4367500, 4370500, USB, 100, #55008080, 405
4370500, 4373500, USB, 100, #5500C9C9, 406
4373500, 4376500, USB, 100, #55008080, 407
4376500, 4379500, USB, 100, #5500C9C9, 408
4379500, 4382500, USB, 100, #55008080, 409
4382500, 4385500, USB, 100, #5500C9C9, 410
4385500, 4388500, USB, 100, #55008080, 411
4388500, 4391500, USB, 100, #5500C9C9, 412
4391500, 4394500, USB, 100, #55008080, 413
4394500, 4397500, USB, 100, #5500C9C9, 414
4397500, 4400500, USB, 100, #55008080, 415
4400500, 4403500, USB, 100, #5500C9C9, 416
4403500, 4406500, USB, 100, #55008080, 417
4406500, 4409500, USB, 100, #5500C9C9, 418
4409500, 4412500, USB, 100, #55008080, 419
4412500, 4415500, USB, 100, #5500C9C9, 420
4415500, 4418500, USB, 100, #55008080, 421
4418500, 4421500, USB, 100, #5500C9C9, 422
4421500, 4424500, USB, 100, #55008080, 423
4424500, 4427500, USB, 100, #5500C9C9, 424
4427500, 4430500, USB, 100, #55008080, 425
4430500, 4433500, USB, 100, #5500C9C9, 426
4433500, 4436500, USB, 100, #55008080, 427
4436500, 4623500, USB, 10, #55008080, (Coast TX) Maritime
4623500, 4626500, CW, 1, #50DD1111, UVB-76 (Lower)
4626500, 4750000, USB, 10, #55008080, (Coast TX) Maritime
4750000, 4808500, AM, 10, #505D63FF, Shortwave (Tropical Band 60m) Broadcast
4808500, 4811500, CW, 1, #50DD1111, UVB-76 (Upper)
4811500, 4995000, AM, 10, #505D63FF, Shortwave (Tropical Band 60m) Broadcast
4995000, 5005000, AM, 10, #44FF00FF, Standard Frequency and Time Signal
5005000, 5060000, AM, 10, #505D63FF, Shortwave (Tropical Band 60m) Broadcast
5060000, 5330500, USB, 10, #55008080, Maritime Mobile/ Private Land Mobile
5330500, 5333400, USB, 10, #500000FF, 60m Ham Band| Ch. 1
5333400, 5346500, USB, 10, #55008080, 
5346500, 5349400, USB, 10, #500000FF, Ch. 2 (60m)
5349400, 5357000, USB, 10, #55008080, 
5357000, 5359900, USB, 10, #500000FF, Ch. 3 (60m)
5359900, 5371500, USB, 10, #55008080, 
5371500, 5374400, USB, 10, #500000FF, Ch. 4 (60m)
5374400, 5403500, USB, 10, #55008080, 
5403500, 5406400, USB, 10, #500000FF, Ch. 5 | 60m Ham Band
5406400, 5446500, USB, 10, #505D88FF, Aeronautical/ Maritime
5446500, 5449500, CW, 1, #50DD1111, The Pip (Day)
5449500, 5900000, USB, 10, #505D88FF, Aeronautical/ Maritime
5900000, 6200000, AM, 10, #505D63FF, Shortwave (49m) Broadcast
6200000, 6214750, USB, 10, #55008080, (Ship TX) Maritime
6213750, 6216250, USB, 10, #50FF0091, Distress
6216250, 6342500, USB, 10, #55008080, (Ship TX) Maritime
6342500, 6765000, LSB, 10, #505D88FF, (Transoceanic Flights) Aeronautical and (Ship/Shore) Maritime
6765000, 6795000, NFM, 10, #44006179, ISM Band (50m)
6795000, 7000000, USB, 10, #55008080, Long Distance Communications
7000000, 7080000, LSB, 10, #50FF0000, 40m Ham Band|  
7080000, 7169000, LSB, 10, #500089FF, RTTY/Data
7169000, 7173000, LSB, 10, #50FF004D, SSTV
7173000, 7200000, LSB, 10, #50FF0000, 40m
7200000, 7300000, AM, 100, #50AD63FF, Shared 40m and Shortwave (41m) Broadcast
7300000, 7450000, AM, 100, #505D63FF, Shortwave (41m) Broadcast
7450000, 7633500, USB, 100, #55008080, Maritime
7633500, 7636500, USB, 10, #5090EE90, MARS
7636500, 7850000, USB, 100, #55008080, Maritime
7850000, 8289750, USB, 100, #55008080, (Ship/Shore) Maritime
8289750, 8292250, USB, 100, #50FF0091, Distress
8292250, 8680000, USB, 100, #55008080, (Ship/Shore) Maritime
8680000, 9108000, USB, 100, #505D88FF, (Transoceanic Flights) Aeronautical and (Ship/Shore) Maritime
9108000, 9400000, USB, 100, #55008080, Maritime Mobile/ Private Land Mobile
9400000, 9900000, AM, 100, #505D63FF, Shortwave (31m) Broadcast
9900000, 9995000, USB, 100, #55008080, Private Land Mobile
9995000, 10005000, AM, 100, #44FF00FF, Standard Frequency and Time Signal
10005000, 10100000, USB, 100, #40AFFFEE, Aeronautical
10100000, 10130000, USB, 10, #50FF0000, 30m Ham Band|  
10130000, 10140000, USB, 10, #5000FF00, RTTY
10140000, 10150000, USB, 10, #5000B3FF, Packet  |30m Ham Band
10150000, 11407000, USB, 100, #55008080, Aeronautical
11407000, 11410000, USB, 10, #5090EE90, MARS
11410000, 11600000, USB, 100, #55008080, Aeronautical
11600000, 12100000, AM, 100, #505D63FF, Shortwave (25m) Broadcast
12100000, 12288750, USB, 100, #55008080, (Ship/Shore) Maritime
12288750, 12291250, USB, 100, #50FF0091, Distress
12291250, 12787900, AM, 100, #55008080, (Ship/Shore) Maritime
12791900, 13360000, USB, 100, #505D88FF, (Transoceanic Flights) Aeronautical and (Ship/Shore) Maritime
13360000, 13410000, AM, 100, #40FFFF00, Radio Astronomy
13410000, 13553000, USB, 100, #55008080, (Ship/Shore) Maritime
13553000, 13567000, CW, 10, #50FF0000, 22m (HiFER) Band and 22m ISM
13567000, 13570000, CW, 10, #44006179, 22m ISM Band
13570000, 13870000, AM, 100, #505D63FF, Shortwave (22m) Broadcast
13927000, 13930000, USB, 10, #5090EE90, MARS
14000000, 14070000, USB, 10, #50FF0000, 20m Ham Band|
14070000, 14095000, USB, 10, #500000FF, RTTY
14095000, 14099500, USB, 10, #5000B3FF, Packet
14099500, 14100500, USB, 10, #50ACFFEC, NCDXF Beacons
14100500, 14112000, USB, 10, #5000B3FF, Packet
14112000, 14228000, USB, 10, #50FF0000, 20m
14228000, 14232000, USB, 10, #50FF004D, SSTV
14232000, 14284000, USB, 10, #50FF0000, 20m
14284000, 14288000, USB, 10, #5000FF00, AM calling frequency
14288000, 14350000, USB, 10, #50FF0000, |20m Ham Band
14350000, 14995000, USB, 100, #55008080, Private Land Mobile
14995000, 15005000, AM, 100, #44FF00FF, Standard Frequency and Time Signal
15005000, 15100000, USB, 100, #40AFFFEE, (Transoceanic Flights) Aeronautical Mobile
15100000, 15800000, AM, 100, #505D63FF, Shortwave (19m) Broadcast
15800000, 16418750, USB, 100, #55008080, (Ship/Shore) Maritime
16418750, 16421250, USB, 100, #50FF0091, Distress
16421250, 17480000, USB, 100, #55008080, (Ship/Shore) Maritime
17480000, 17900000, AM, 100, #505D63FF, Shortwave (16m) Broadcast
17900000, 18068000, USB, 100, #40AFFFEE, (Transoceanic Flights) Aeronautical
18068000, 18168000, USB, 10, #50FF0000, 17m Ham Band
18168000, 18900000, USB, 100, #55008080, (Ship/Shore) Maritime/ Fixed Service
18900000, 19020000, AM, 100, #505D63FF, Shortwave (15m) Broadcast
19020000, 19995000, USB, 100, #55008080, (Ship/Shore) Maritime
19995000, 20005000, AM, 100, #44FF00FF, Standard Frequency and Time Signal
20005000, 21000000, USB, 100, #55008080, Private Land Mobile
21000000, 21450000, USB, 10, #50FF0000, 15m Ham Band
21450000, 21850000, AM, 100, #505D63FF, Shortwave (13m) Broadcast
21850000, 22000000, USB, 100, #505D88FF, Aeronautical Mobile
22000000, 24890000, USB, 100, #505D88FF, (Ship/Shore) Maritime
24890000, 24990000, USB, 10, #50FF0000, 12m Ham Band
24990000, 24995000, USB, 100, #55008080, Maritime
24995000, 25005000, AM, 100, #44FF00FF, Standard Frequency and Time Signal
25005000, 25550000, USB, 100, #55008080, Maritime
25550000, 25670000, USB, 100, #40FFFF00, Radio Astronomy
25670000, 26100000, AM, 100, #505D63FF, Shortwave (11m) Broadcast
26100000, 26957000, USB, 100, #55008080, Maritime
26957000, 27283000, AM, 100, #44006179, 10m ISM
27283000, 27410000, USB, 100, #55008080, Maritime
27410000, 28000000, USB, 100, #50738FFF, Meteorological Aids
28000000, 29700000, CW, 10, #50FF0000, 10m Ham Band
29700000, 40660000, AM, 100, #55008080, Fixed Mobile/ Maritime
40660000, 40700000, AM, 100, #44006179, 8m ISM
40700000, 50000000, AM, 100, #55008080, Fixed Mobile/ Maritime
50000000, 54000000, CW, 10, #50FF0000, 6m Ham Band
54000000, 72000000, NFM, 1000, #55008080, Radiolocation/ Television VHF
73000000, 74600000, NFM, 100, #40FFFF00, Radio Astronomy
76000000, 88000000, NFM, 100, #55008080, Radiolocation/ FM Broadcast
88000000, 108000000, WFM, 100, #4000FF9A, FM Broadcast
108000000, 118000000, AM, 100, #505D88FF, Air Band VOR/ILS
118000000, 121490000, AM, 100, #505D88FF, Air Band Voice
121490000, 121510000, AM, 100, #50FF0091, Civilian Aircraft Distress/ Emergency
121510000, 131545000, AM, 100, #505D88FF, Air Band Voice
131545000, 131555000, AM, 100, #400000FF, ACARS
131555000, 136637500, AM, 100, #505D88FF, Air Band Voice
136637500, 136662500, RAW, 10, #400000FF, VDL-M2 (US)
136662500, 136687500, AM, 100, #505D88FF, 
136687500, 136712500, RAW, 10, #400000FF, VDL-M2 (US)
136712500, 136737500, RAW, 10, #400000FF, VDL-M2 (EU)
136737500, 136762500, AM, 100, #505D88FF, 
136762500, 136787500, RAW, 10, #400000FF, VDL-M2 (EU)
136787500, 136812500, RAW, 10, #400000FF, VDL-M2 (US)
136812500, 136837500, RAW, 10, #400000FF, VDL-M2 (EU)
136837500, 136862500, AM, 100, #505D88FF, 
136862500, 136887500, RAW, 10, #400000FF, VDL-M2 (EU)
136887500, 136962500, AM, 100, #505D88FF, 
136962500, 136987500, RAW, 10, #400000FF, Worldwide VDL-M2
136987500, 137000000, NFM, 100, #505D88FF, 
137040000, 137080000, WFM, 10, #2200BFFF, | METEOR
137080000, 137120000, WFM, 10, #5500FFFF, NOAA-19
137120000, 137160000, WFM, 10, #2200BFFF, METEOR | 
137333000, 137367000, WFM, 10, #44FF00FF, DSB NOAA-15 and NOAA-18 
137600000, 137640000, WFM, 10, #5500FFFF, NOAA-15
137753000, 137787000, WFM, 10, #44FF00FF, DSB NOAA-19 
137892500, 137932500, WFM, 10, #5500FFFF, NOAA-18
137175000, 137327500, WFM, 10, #33FF4400, ORB. Seg. 1
137422500, 137472500, WFM, 10, #33FF4400, ORB. Seg. 2
137535000, 137585000, WFM, 10, #55FF8000, Orbcomm Gateway
137650000, 137750000, WFM, 10, #33FF4400, ORB. Seg. 3
137787500, 137812500, WFM, 10, #33FF4400, ORB. Seg. 4
144000000, 144480000, NFM, 100, #50FF0000, 2m Ham Band
144480000, 144500000, NFM, 100, #50FFFF00, ISS Voice Uplink
144500000, 145790000, NFM, 100, #503CCCFF, 2m
145790000, 145810000, NFM, 100, #5500BCFF, ISS Voice/ SSTV Downlink
145810000, 145815000, NFM, 100, #5033FF00, Satellites
145815000, 145835000, NFM, 100, #50FFFFFF, ISS VHF Packet U/D
145835000, 145845000, NFM, 100, #5033FF00, Satellites
145845000, 145855000, NFM, 100, #50FFFF00, SO-50 Uplink
145855000, 145870000, NFM, 100, #5033FF00, Satellites
145870000, 145890000, NFM, 100, #5500E6FF, AO-92 Downlink
145890000, 145895000, NFM, 100, #5033FF00, Satellites
145895000, 145905000, NFM, 100, #5500E6FF, PO-101 Downlink
145905000, 145950000, NFM, 100, #5033FF00, Satellites
145950000, 145970000, NFM, 100, #5500E6FF, AO-91 Downlink
145970000, 145980000, NFM, 100, #5500E6FF, AO-85 Downlink
145980000, 145990000, NFM, 100, #5033FF00, AO-85 Downlink and ISS Repeater Uplink
145990000, 146000000, NFM, 100, #55C4FF00, ISS U/V Repeater Uplink
146000000, 148000000, NFM, 100, #50FF0000, 2m Ham Band 
148000000, 150000000, NFM, 100, #40FFCD00, Orbcomm Uplink
150000000, 155987500, NFM, 100, #5500C9C9, Fixed Mobile
155987500, 156012500, NFM, 100, #5500C9C9, 0
156012500, 156037500, NFM, 100, #55008080, 60
156037500, 156062500, NFM, 100, #5500C9C9, 1
156062500, 156087500, NFM, 100, #55008080, 61
156087500, 156112500, NFM, 100, #5500C9C9, 2
156112500, 156137500, NFM, 100, #55008080, 62
156137500, 156162500, NFM, 100, #5500C9C9, 3
156162500, 156187500, NFM, 100, #55008080, 63
156187500, 156212500, NFM, 100, #5500C9C9, 4
156212500, 156237500, NFM, 100, #55008080, 64
156237500, 156262500, NFM, 100, #5500C9C9, 5
156262500, 156287500, NFM, 100, #55008080, 65
156287500, 156312500, NFM, 100, #5500C9C9, 6 (Splx)
156312500, 156337500, NFM, 100, #55008080, 66
156337500, 156362500, NFM, 100, #5500C9C9, 7
156362500, 156387500, NFM, 100, #55008080, 67 (Splx)
156387500, 156412500, NFM, 100, #5500C9C9, 8 (Splx)
156412500, 156437500, NFM, 100, #55008080, 68 (Splx)
156437500, 156462500, NFM, 100, #5500C9C9, 9 (Splx)
156462500, 156487500, NFM, 100, #55008080, 69 (Splx)
156487500, 156512500, NFM, 100, #5500C9C9, 10 (Splx)
156512500, 156537500, NFM, 100, #55008080, 70 (Splx)
156537500, 156562500, NFM, 100, #5500C9C9, 11 (Splx)
156562500, 156587500, NFM, 100, #55008080, 71 (Splx)
156587500, 156612500, NFM, 100, #5500C9C9, 12 (Splx)
156612500, 156637500, NFM, 100, #55008080, 72 (Splx)
156637500, 156662500, NFM, 100, #5500C9C9, 13 (Splx)
156662500, 156687500, NFM, 100, #55008080, 73 (Splx)
156687500, 156712500, NFM, 100, #5500C9C9, 14 (Splx)
156712500, 156737500, NFM, 100, #55008080, 74 (Splx)
156737500, 156762500, NFM, 100, #5500C9C9, 15 (Splx)
156762500, 156787500, NFM, 100, #55008080, 75 (Splx)
156787500, 156812500, NFM, 100, #50FF0091, International Distress (Ch. 16)
156812500, 156837500, NFM, 100, #55008080, 76 (Splx)
156837500, 156862500, NFM, 100, #5500C9C9, 17 (Splx)
156862500, 156887500, NFM, 100, #55008080, 77 (Splx)
156887500, 156912500, NFM, 100, #5500C9C9, 18
156912500, 156937500, NFM, 100, #55008080, 78
156937500, 156962500, NFM, 100, #5500C9C9, 19
156962500, 156987500, NFM, 100, #55008080, 79
156987500, 157012500, NFM, 100, #5500C9C9, 20
157012500, 157037500, NFM, 100, #55008080, 80
157037500, 157062500, NFM, 100, #5500C9C9, 21
157062500, 157087500, NFM, 100, #55008080, 81
157087500, 157112500, NFM, 100, #5500C9C9, 22
157112500, 157137500, NFM, 100, #55008080, 82
157137500, 157162500, NFM, 100, #5500C9C9, 23
157162500, 157187500, NFM, 100, #55008080, 83
157187500, 157212500, NFM, 100, #5500C9C9, 24
157212500, 157237500, NFM, 100, #55008080, 84
157237500, 157262500, NFM, 100, #5500C9C9, 25
157262500, 157287500, NFM, 100, #55008080, 85
157287500, 157312500, NFM, 100, #5500C9C9, 26
157312500, 157337500, NFM, 100, #55008080, 86
157337500, 157362500, NFM, 100, #5500C9C9, 27
157362500, 157387500, NFM, 100, #55008080, 87 (Splx)
157387500, 157412500, NFM, 100, #5500C9C9, 28
157412500, 157437500, NFM, 100, #55008080, 88 (Splx)
157437500, 160587500, NFM, 100, #55008080, Marine
160587500, 160612500, NFM, 100, #5500C9C9, Marine VHF Ch. 0 (Coast Stations)
160612500, 160637500, NFM, 100, #55008080, 60
160637500, 160662500, NFM, 100, #5500C9C9, 1
160662500, 160687500, NFM, 100, #55008080, 61
160687500, 160712500, NFM, 100, #5500C9C9, 2
160712500, 160737500, NFM, 100, #55008080, 62
160737500, 160762500, NFM, 100, #5500C9C9, 3
160762500, 160787500, NFM, 100, #55008080, 63
160787500, 160812500, NFM, 100, #5500C9C9, 4
160812500, 160837500, NFM, 100, #55008080, 64
160837500, 160862500, NFM, 100, #5500C9C9, 5
160862500, 160887500, NFM, 100, #55008080, 65
160887500, 160912500, NFM, 100, #5500C9C9, Marine
160912500, 160937500, NFM, 100, #55008080, 66
160937500, 160962500, NFM, 100, #5500C9C9, 7
161487500, 161512500, NFM, 100, #55008080, 18
161512500, 161537500, NFM, 100, #5500C9C9, 78
161537500, 161562500, NFM, 100, #55008080, 19
161562500, 161587500, NFM, 100, #5500C9C9, 79
161587500, 161612500, NFM, 100, #55008080, 20
161612500, 161637500, NFM, 100, #5500C9C9, 80
161637500, 161662500, NFM, 100, #55008080, 21
161662500, 161687500, NFM, 100, #5500C9C9, 81
161687500, 161712500, NFM, 100, #55008080, 22
161712500, 161737500, NFM, 100, #5500C9C9, 82
161737500, 161762500, NFM, 100, #55008080, 23
161762500, 161787500, NFM, 100, #5500C9C9, 83
161787500, 161812500, NFM, 100, #55008080, 24
161812500, 161837500, NFM, 100, #5500C9C9, 84
161837500, 161862500, NFM, 100, #55008080, 25
161862500, 161887500, NFM, 100, #5500C9C9, 85
161887500, 161912500, NFM, 100, #55008080, 26
161912500, 161937500, NFM, 100, #5500C9C9, 86
161937500, 161962500, NFM, 100, #55008080, 27
161962500, 161987500, NFM, 100, #5500C9C9, AIS Ch. A (87B) 
161987500, 162012500, NFM, 100, #55008080, 88B/ 28
162012500, 162037500, NFM, 100, #5500C9C9, AIS Ch. B
162037500, 162137500, NFM, 100, #55008080, Marine
162137500, 162162500, NFM, 100, #5500C9C9, 31
162162500, 174000000, NFM, 100, #55008080, Fixed Mobile/ Marine
174000000, 216000000, WFM, 100, #50FFE55C, Television VHF
216000000, 223000000, NFM, 100, #55008080, Radiolocation/ Television VHF
400050000, 400150000, NFM, 100, #50DE91EE, Standard Frequency and Time Signal-Satellite Service
400150000, 401000000, NFM, 100, #40FFCD00, (NVNG)/ Mobile Satellite Service (MSS)
401000000, 403000000, NFM, 100, #4000FFFF, Earth Exploration Satellite
406000000, 406100000, NFM, 100, #50FF0091, Distress Beacons (S and RSAT| NOAAs 15, 18, 19)
406100000, 410000000, NFM, 100, #40FFFF00, Radio Astronomy
430000000, 433050000, NFM, 100, #50FF0000, 70cm Ham Band
433050000, 434790000, NFM, 100, #44006179, Shared 70cm Ham and 70cm ISM
434790000, 435172000, NFM, 100, #50FF0000, 70cm Ham Band
435172000, 435192000, NFM, 100, #50FFFF00, AO-85 Uplink
435192000, 435240000, NFM, 100, #5033FF00, Satellite
435240000, 435260000, NFM, 100, #50FFFF00, AO-91 Uplink
435260000, 435340000, NFM, 100, #5033FF00, Satellite
435340000, 435360000, NFM, 100, #50FFFF00, AO-92 Uplink
435360000, 436785000, NFM, 100, #5033FF00, Satellite
436785000, 436805000, NFM, 100, #5500E6FF, SO-50 Downlink
436805000, 437490000, NFM, 100, #5033FF00, Satellite
437490000, 437510000, NFM, 100, #50FFFF00, PO-101 Uplink
437510000, 437540000, NFM, 100, #5033FF00, Satellite
437540000, 437560000, NFM, 100, #5033FF00, ISS UHF Packet U/D
437560000, 437790000, NFM, 100, #5033FF00, Satellite
437790000, 437810000, NFM, 100, #5500E6FF, ISS U/V Repeater Downlink
437810000, 438000000, NFM, 100, #5033FF00, Satellite
438000000, 440000000, NFM, 100, #50FF0000, 70cm Ham Band
446000000, 446012500, NFM, 100, #554545FF, PMR446 Ch. 1
446012500, 446025000, NFM, 100, #552929FF, 2
446025000, 446037500, NFM, 100, #554545FF, 3
446037500, 446050000, NFM, 100, #552929FF, 4
446050000, 446062500, NFM, 100, #554545FF, 5
446062500, 446075000, NFM, 100, #552929FF, 6
446075000, 446087500, NFM, 100, #554545FF, 7
446087500, 446100000, NFM, 100, #552929FF, 8
446100000, 446112500, NFM, 100, #554545FF, 9
446112500, 446125000, NFM, 100, #552929FF, 10
446125000, 446137500, NFM, 100, #554545FF, 11
446137500, 446150000, NFM, 100, #552929FF, 12
446150000, 446162500, NFM, 100, #554545FF, 13
446162500, 446175000, NFM, 100, #552929FF, 14
446175000, 446187500, NFM, 100, #554545FF, 15
